team,QB rank,wk 12,wk 13,wk 14,wk 15,  ,team,RB rank,wk 12,wk 13,wk 14,wk 15,  ,team,WR rank,wk 12,wk 13,wk 14,wk 15,  ,team,TE rank,wk 12,wk 13,wk 14,wk 15,  ,team,K rank,wk 12,wk 13,wk 14,wk 15,  
SD,61.857142857142854,HOU -  Brock Osweiler,TB -  Jameis Winston,CAR -  Cam Newton Derek Anderson Joe Webb,OAK -  Derek Carr,  ,SD,33.57142857142858,HOU -  Lamar Miller Alfred Blue Jonathan Grimes Tyler Ervin,TB -  Jacquizz Rodgers Charles Sims Peyton Barber Doug Martin Antone Smith Alan Cross,CAR -  Fozzy Whittaker Jonathan Stewart Cameron Artis-Payne,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,  ,DET,44.17142857142857,MIN -  Stefon Diggs Adam Thielen Cordarrelle Patterson Charles Johnson Jarius Wright Laquon Treadwell,NO -  Brandin Cooks Michael Thomas Willie Snead Brandon Coleman Tommylee Lewis Jake Lampman,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,NYG -  Odell Beckham Sterling Shepard Victor Cruz Roger Lewis Dwayne Harris Tavarres King,  ,GB,14.366666666666667,PHI -  Zach Ertz Trey Burton Brent Celek,HOU -  C.J. Fiedorowicz Ryan Griffin Stephen Anderson,SEA -  Jimmy Graham Luke Willson Brandon Williams Nick Vannett George Fant,CHI -  Zach Miller Logan Paulsen Ben Braunecker,  ,OAK,7.285714285714286,CAR -  Graham Gano,BUF -  Dan Carpenter,KC -  Cairo Santos,SD -  Josh Lambo,  
CIN,60.285714285714285,BAL -  Joe Flacco,PHI -  Carson Wentz,CLE -  Cody Kessler Josh McCown Robert Griffin III Kevin Hogan,PIT -  Ben Roethlisberger Landry Jones,  ,CIN,33.028571428571425,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,PHI -  Ryan Mathews Darren Sproles Wendell Smallwood Kenjon Barner,CLE -  Isaiah Crowell Duke Johnson George Atkinson,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,  ,BAL,43.800000000000004,CIN -  A.J. Green Brandon LaFell Tyler Boyd James Wright Alex Erickson Cody Core,MIA -  Jarvis Landry Kenny Stills DeVante Parker Leonte Carroo Jakeem Grant,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,  ,NYJ,13.999999999999998,NE -  Rob Gronkowski Martellus Bennett,IND -  Jack Doyle Dwayne Allen Erik Swoope,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,MIA -  Dion Sims MarQueis Gray Jordan Cameron Dominique Jones,  ,ATL,7.285714285714286,ARI -  Chandler Catanzaro,KC -  Cairo Santos,LA -  Greg Zuerlein,SF -  Phil Dawson,  
KC,57.56666666666667,DEN -  Trevor Siemian Paxton Lynch,ATL -  Matt Ryan,OAK -  Derek Carr,TEN -  Marcus Mariota Matt Cassel,  ,KC,32.43333333333334,DEN -  C.J. Anderson Devontae Booker Kapri Bibbs,ATL -  Devonta Freeman Tevin Coleman,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,TEN -  DeMarco Murray Derrick Henry Antonio Andrews,  ,LA,43.65714285714286,NO -  Brandin Cooks Michael Thomas Willie Snead Brandon Coleman Tommylee Lewis Jake Lampman,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,ATL -  Julio Jones Mohamed Sanu Taylor Gabriel Aldrick Robinson Justin Hardy Eric Weems,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,  ,SF,13.4,MIA -  Dion Sims MarQueis Gray Jordan Cameron Dominique Jones,CHI -  Zach Miller Logan Paulsen Ben Braunecker,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,ATL -  Jacob Tamme Austin Hooper Levine Toilolo,  ,PIT,7.142857142857143,IND -  Adam Vinatieri,NYG -  Robbie Gould,BUF -  Dan Carpenter,CIN -  Mike Nugent,  
CHI,57.05714285714286,TEN -  Marcus Mariota Matt Cassel,SF -  Blaine Gabbert Colin Kaepernick,DET -  Matthew Stafford,GB -  Aaron Rodgers,  ,DEN,31.400000000000002,KC -  Spencer Ware Charcandrick West Jamaal Charles,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,TEN -  DeMarco Murray Derrick Henry Antonio Andrews,NE -  LeGarrette Blount James White D.J. Foster Brandon Bolden,  ,BUF,43.0,JAC -  Allen Hurns Marqise Lee Allen Robinson Arrelious Benn Rashad Greene Bryan Walters,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,PIT -  Antonio Brown Sammie Coates Eli Rogers Cobi Hamilton Darrius Heyward-Bey Markus Wheaton,CLE -  Terrelle Pryor Andrew Hawkins Corey Coleman Ricardo Louis Rashard Higgins Jordan Payton,  ,MIA,13.371428571428572,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,ARI -  Jermaine Gresham Darren Fells Ifeanyi Momah Troy Niklas Hakeem Valles,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,  ,TEN,7.142857142857143,CHI -  Connor Barth,BYE,DEN -  Brandon McManus,KC -  Cairo Santos,  
SF,56.97142857142857,MIA -  Ryan Tannehill,CHI -  Brian Hoyer Jay Cutler Matt Barkley,NYJ -  Ryan Fitzpatrick Geno Smith,ATL -  Matt Ryan,  ,BUF,30.914285714285718,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,CLE -  Isaiah Crowell Duke Johnson George Atkinson,  ,GB,42.23333333333334,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,HOU -  DeAndre Hopkins Will Fuller Jaelen Strong Braxton Miller Keith Mumphery,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,  ,NE,12.714285714285714,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,LA -  Lance Kendricks Tyler Higbee Cory Harkey Temarrick Hemingway,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,DEN -  Virgil Green Jeff Heuerman John Phillips,  ,NYJ,7.0,NE -  Stephen Gostkowski,IND -  Adam Vinatieri,SF -  Phil Dawson,MIA -  Andrew Franks,  
TB,56.96666666666666,SEA -  Russell Wilson Trevone Boykin,SD -  Philip Rivers Kellen Clemens,NO -  Drew Brees,DAL -  Dak Prescott,  ,DET,29.685714285714283,MIN -  Jerick McKinnon Matt Asiata Adrian Peterson Ronnie Hillman,NO -  Mark Ingram Tim Hightower Daniel Lasco Travaris Cadet Marcus Murphy,CHI -  Jordan Howard Jeremy Langford Ka'Deem Carey,NYG -  Shane Vereen Rashad Jennings Orleans Darkwa Bobby Rainey Paul Perkins,  ,DAL,41.2,WAS -  Jamison Crowder DeSean Jackson Pierre Garcon Josh Doctson Ryan Grant Rashad Ross,MIN -  Stefon Diggs Adam Thielen Cordarrelle Patterson Charles Johnson Jarius Wright Laquon Treadwell,NYG -  Odell Beckham Sterling Shepard Victor Cruz Roger Lewis Dwayne Harris Tavarres King,TB -  Mike Evans Adam Humphries Vincent Jackson Russell Shepard Cecil Shorts Freddie Martino,  ,SD,12.42857142857143,HOU -  C.J. Fiedorowicz Ryan Griffin Stephen Anderson,TB -  Cameron Brate Brandon Myers,CAR -  Greg Olsen Ed Dickson,OAK -  Clive Walford Mychal Rivera Lee Smith,  ,TB,6.833333333333333,SEA -  Stephen Hauschka,SD -  Josh Lambo,NO -  Wil Lutz,DAL -  Dan Bailey,  
LA,56.77142857142858,NO -  Drew Brees,NE -  Tom Brady Jimmy Garoppolo Jacoby Brissett,ATL -  Matt Ryan,SEA -  Russell Wilson Trevone Boykin,  ,MIA,28.8,SF -  Carlos Hyde Shaun Draughn DuJuan Harris Mike Davis,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,ARI -  David Johnson Chris Johnson Andre Ellington Stepfan Taylor,NYJ -  Matt Forte Bilal Powell Troymaine Pope,  ,ATL,40.971428571428575,ARI -  Larry Fitzgerald John Brown Michael Floyd Jaron Brown J.J. Nelson Brittan Golden,KC -  Jeremy Maclin Chris Conley Tyreek Hill Albert Wilson De'Anthony Thomas Demarcus Robinson,LA -  Kenny Britt Brian Quick Tavon Austin Bradley Marquez Pharoh Cooper Mike Thomas,SF -  Jeremy Kerley Torrey Smith Quinton Patton Rod Streater Aaron Burbridge Keshawn Martin,  ,DEN,12.142857142857142,KC -  Travis Kelce Demetrius Harris Ross Travis James O'Shaughnessy,JAC -  Julius Thomas Marcedes Lewis Neal Sterling Ben Koyack,TEN -  Delanie Walker Jace Amaro Anthony Fasano Phillip Supernaw,NE -  Rob Gronkowski Martellus Bennett,  ,CLE,6.571428571428571,NYG -  Robbie Gould,BYE,CIN -  Mike Nugent,BUF -  Dan Carpenter,  
MIA,56.2,SF -  Blaine Gabbert Colin Kaepernick,BAL -  Joe Flacco,ARI -  Carson Palmer Drew Stanton,NYJ -  Ryan Fitzpatrick Geno Smith,  ,PHI,28.63333333333333,GB -  Eddie Lacy James Starks Don Jackson Knile Davis,CIN -  Jeremy Hill Giovani Bernard Rex Burkhead,WAS -  Matt Jones Chris Thompson Rob Kelley,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,  ,WAS,40.8,DAL -  Cole Beasley Terrance Williams Dez Bryant Brice Butler Lucky Whitehead,ARI -  Larry Fitzgerald John Brown Michael Floyd Jaron Brown J.J. Nelson Brittan Golden,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,CAR -  Kelvin Benjamin Ted Ginn Corey Brown Devin Funchess,  ,NO,11.966666666666663,LA -  Lance Kendricks Tyler Higbee Cory Harkey Temarrick Hemingway,DET -  Eric Ebron Clay Harbor Cole Wick Khari Lee,TB -  Cameron Brate Brandon Myers,ARI -  Jermaine Gresham Darren Fells Ifeanyi Momah Troy Niklas Hakeem Valles,  ,GB,6.5,PHI -  Caleb Sturgis,HOU -  Nick Novak,SEA -  Stephen Hauschka,CHI -  Connor Barth,  
NYG,55.62857142857143,CLE -  Cody Kessler Josh McCown Robert Griffin III Kevin Hogan,PIT -  Ben Roethlisberger Landry Jones,DAL -  Dak Prescott,DET -  Matthew Stafford,  ,LA,27.28571428571428,NO -  Mark Ingram Tim Hightower Daniel Lasco Travaris Cadet Marcus Murphy,NE -  LeGarrette Blount James White D.J. Foster Brandon Bolden,ATL -  Devonta Freeman Tevin Coleman,SEA -  Christine Michael Thomas Rawls Alex Collins C.J. Spiller C.J. Prosise,  ,SD,40.714285714285715,HOU -  DeAndre Hopkins Will Fuller Jaelen Strong Braxton Miller Keith Mumphery,TB -  Mike Evans Adam Humphries Vincent Jackson Russell Shepard Cecil Shorts Freddie Martino,CAR -  Kelvin Benjamin Ted Ginn Corey Brown Devin Funchess,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,  ,TB,10.799999999999999,SEA -  Jimmy Graham Luke Willson Brandon Williams Nick Vannett George Fant,SD -  Hunter Henry Antonio Gates Sean McGrath,NO -  Coby Fleener Josh Hill,DAL -  Jason Witten Geoff Swaim Gavin Escobar,  ,DET,6.428571428571429,MIN -  Blair Walsh,NO -  Wil Lutz,CHI -  Connor Barth,NYG -  Robbie Gould,  
TEN,54.42857142857143,CHI -  Brian Hoyer Jay Cutler Matt Barkley,BYE,DEN -  Trevor Siemian Paxton Lynch,KC -  Alex Smith,  ,NE,27.228571428571428,NYJ -  Matt Forte Bilal Powell Troymaine Pope,LA -  Todd Gurley Benny Cunningham Malcolm Brown Chase Reynolds,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,DEN -  C.J. Anderson Devontae Booker Kapri Bibbs,  ,SF,40.57142857142857,MIA -  Jarvis Landry Kenny Stills DeVante Parker Leonte Carroo Jakeem Grant,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,NYJ -  Brandon Marshall Quincy Enunwa Eric Decker Robby Anderson Charone Peake Jalin Marshall,ATL -  Julio Jones Mohamed Sanu Taylor Gabriel Aldrick Robinson Justin Hardy Eric Weems,  ,MIN,10.6,DET -  Eric Ebron Clay Harbor Cole Wick Khari Lee,DAL -  Jason Witten Geoff Swaim Gavin Escobar,JAC -  Julius Thomas Marcedes Lewis Neal Sterling Ben Koyack,IND -  Jack Doyle Dwayne Allen Erik Swoope,  ,NO,6.333333333333333,LA -  Greg Zuerlein,DET -  Matt Prater,TB -  Roberto Aguayo,ARI -  Chandler Catanzaro,  
