Player,Team,K Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
Matthew Slater,NE,0.25,OUT,0.0,OUT,0.0,1.0,OUT,OUT,0.0
Deonte Thompson,CHI,0.1142857142857143,0.0,0.0,0.0,0.0,0.0,OUT,0.8,0.0
Mike Thomas,LA,0.0,OUT,OUT,0.0,OUT,0.0,OUT,0.0,BYE
Eric Weems,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pharoh Cooper,LA,0.0,OUT,OUT,OUT,OUT,0.0,OUT,OUT,BYE
Marc Mariani,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Mumphery,HOU,0.0,OUT,OUT,OUT,0.0,OUT,0.0,OUT,OUT
Laquon Treadwell,MIN,0.0,OUT,OUT,OUT,0.0,OUT,BYE,OUT,OUT
Freddie Martino,TB,0.0,OUT,OUT,OUT,0.0,OUT,BYE,OUT,OUT
Maurice Harris,WAS,0.0,OUT,OUT,OUT,OUT,OUT,OUT,OUT,0.0
Demarcus Robinson,KC,0.0,OUT,0.0,OUT,0.0,BYE,OUT,0.0,0.0
Devin Hester,BAL,0.0,0.0,0.0,0.0,0.0,0.0,OUT,0.0,BYE
Tavarres King,NYG,0.0,OUT,OUT,OUT,OUT,0.0,OUT,OUT,BYE
Keshawn Martin,SF,0.0,OUT,OUT,OUT,OUT,OUT,0.0,OUT,BYE
Cody Core,CIN,0.0,OUT,OUT,OUT,OUT,0.0,OUT,OUT,OUT
Jakeem Grant,MIA,0.0,0.0,OUT,0.0,0.0,0.0,0.0,0.0,BYE
Jake Lampman,NO,0.0,OUT,OUT,OUT,OUT,BYE,0.0,OUT,OUT
Dwayne Harris,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BYE
 , 
Player,Team,RB Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
David Johnson,ARI,33.63333333333333,32.4,28.6,34.2,24.800000000000004,49.0,45.6,34.2,21.6
Ezekiel Elliott,DAL,31.4,16.4,23.400000000000002,32.0,37.400000000000006,46.2,34.800000000000004,BYE,29.6
Le'Veon Bell,PIT,29.95,OUT,OUT,OUT,35.6,30.800000000000004,23.6,29.8,BYE
DeMarco Murray,TEN,29.825,27.4,29.0,37.0,35.8,27.400000000000002,19.0,31.400000000000002,31.6
Melvin Gordon,SD,27.275,23.4,30.000000000000004,21.6,27.8,23.400000000000002,18.8,42.2,31.000000000000004
Spencer Ware,KC,26.11428571428572,45.8,21.0,16.6,19.200000000000003,BYE,38.6,32.2,9.4
LeSean McCoy,BUF,25.857142857142858,20.0,18.0,35.2,27.6,31.6,46.4,2.2,OUT
Jay Ajayi,MIA,24.46666666666667,OUT,9.0,11.600000000000001,9.200000000000001,14.4,53.400000000000006,49.2,BYE
Matt Forte,NYJ,22.874999999999996,31.000000000000004,39.8,12.8,8.600000000000001,12.000000000000002,4.4,42.8,31.6
Carlos Hyde,SF,22.833333333333332,30.6,10.4,35.0,21.8,28.8,10.4,OUT,BYE
LeGarrette Blount,NE,22.749999999999996,20.0,30.6,33.0,11.600000000000001,13.4,20.0,38.8,14.6
Devonta Freeman,ATL,22.125,8.0,18.6,47.400000000000006,18.8,30.6,10.0,20.0,23.6
Jordan Howard,CHI,22.057142857142857,OUT,6.2,18.4,26.400000000000002,38.6,14.0,4.4,46.400000000000006
Theo Riddick,DET,21.466666666666665,33.6,13.0,9.600000000000001,11.600000000000001,28.400000000000002,OUT,OUT,32.6
Lamar Miller,HOU,21.275,23.400000000000002,19.400000000000002,21.4,21.6,4.8,47.6,13.400000000000002,18.6
Tevin Coleman,ATL,21.25714285714286,23.4,20.200000000000003,35.8,6.6000000000000005,38.6,3.4000000000000004,20.8,OUT
Christine Michael,SEA,20.514285714285712,14.200000000000001,17.2,34.2,24.0,BYE,28.6,11.0,14.4
Jonathan Stewart,CAR,20.25,12.8,3.2,OUT,OUT,OUT,29.0,BYE,36.0
Isaiah Crowell,CLE,20.175,21.6,35.6,15.8,32.800000000000004,8.0,7.2,21.8,18.6
Frank Gore,IND,20.025000000000002,15.600000000000001,18.6,22.6,25.0,15.8,21.6,22.6,18.4
Todd Gurley,LA,18.88571428571429,8.4,14.000000000000002,28.0,16.400000000000002,27.6,19.400000000000002,18.4,BYE
Jeremy Hill,CIN,18.15,12.2,11.8,31.400000000000002,14.200000000000001,2.4000000000000004,8.200000000000001,44.400000000000006,20.6
Matt Jones,WAS,17.8,6.6000000000000005,19.0,15.8,33.6,11.2,33.0,5.4,OUT
Latavius Murray,OAK,17.3,20.4,26.200000000000003,13.600000000000001,4.800000000000001,OUT,OUT,24.6,14.200000000000003
Mark Ingram,NO,16.971428571428568,17.400000000000002,9.4,29.4,27.200000000000003,BYE,12.000000000000002,22.4,1.0
Giovani Bernard,CIN,16.65,6.0,29.4,8.8,8.4,19.200000000000003,18.8,23.4,19.200000000000003
Terrance West,BAL,16.37142857142857,7.6000000000000005,11.4,10.6,28.6,17.8,36.6,2.0,BYE
DeAngelo Williams,PIT,16.2,46.2,32.400000000000006,8.8,7.800000000000001,0.0,2.0,OUT,BYE
Jacquizz Rodgers,TB,16.03333333333333,OUT,5.800000000000001,4.6,5.8,25.800000000000004,BYE,32.6,21.6
Cameron Artis-Payne,CAR,14.333333333333334,OUT,OUT,11.600000000000001,2.4000000000000004,29.0,OUT,BYE,OUT
Ryan Mathews,PHI,13.885714285714286,21.4,19.0,-1.0,BYE,21.0,12.0,16.6,8.2
Darren Sproles,PHI,13.857142857142858,7.200000000000001,9.6,31.400000000000002,BYE,13.600000000000001,4.8,9.8,20.6
Duke Johnson,CLE,13.65,10.0,11.200000000000001,16.200000000000003,16.8,4.4,20.8,6.6,23.200000000000003
Chris Thompson,WAS,11.950000000000001,13.8,11.6,3.2,14.0,9.0,13.200000000000001,22.6,8.200000000000001
Doug Martin,TB,11.899999999999999,19.200000000000003,4.6000000000000005,OUT,OUT,OUT,BYE,OUT,OUT
Rashad Jennings,NYG,11.600000000000001,15.6,8.0,OUT,OUT,OUT,7.0,15.8,BYE
Devontae Booker,DEN,11.424999999999999,1.6,10.200000000000001,5.0,6.0,11.8,10.600000000000001,23.400000000000002,22.8
DuJuan Harris,SF,11.4,OUT,OUT,OUT,OUT,OUT,OUT,11.4,BYE
Terron Ward,ATL,11.4,OUT,OUT,OUT,OUT,OUT,OUT,OUT,11.400000000000002
James White,NE,11.375000000000002,8.8,5.800000000000001,2.8000000000000003,12.4,17.8,25.200000000000003,12.4,5.800000000000001
Matt Asiata,MIN,11.257142857142856,2.6,5.0,3.8,9.600000000000001,26.200000000000003,BYE,16.0,15.600000000000001
T.J. Yeldon,JAC,11.200000000000001,19.8,7.6000000000000005,5.6000000000000005,23.400000000000002,BYE,5.2,5.6000000000000005,11.2
Jeremy Langford,CHI,10.700000000000001,18.6,12.8,9.2,OUT,OUT,OUT,OUT,2.2
Fozzy Whittaker,CAR,10.37142857142857,3.4000000000000004,26.2,11.200000000000001,18.4,10.8,0.6000000000000001,BYE,2.0
Bilal Powell,NYJ,10.049999999999999,9.600000000000001,0.6000000000000001,14.200000000000001,16.0,10.200000000000001,4.4,3.6,21.8
Jerick McKinnon,MIN,9.533333333333333,1.8000000000000003,0.2,11.4,25.0,9.2,BYE,9.6,OUT
Mike Gillislee,BUF,9.424999999999999,-0.8,9.6,4.0,8.6,7.2,18.0,4.0,24.8
Damien Williams,MIA,9.033333333333333,7.6000000000000005,OUT,11.0,3.0,14.0,9.4,9.2,BYE
Jalen Richard,OAK,9.025,25.0,5.4,8.200000000000001,4.0,19.400000000000002,2.6,0.2,7.4
Derrick Henry,TEN,8.95,8.8,9.8,9.0,1.8,10.8,5.4,0.6000000000000001,25.4
C.J. Prosise,SEA,8.733333333333334,2.2,OUT,OUT,OUT,BYE,OUT,3.4000000000000004,20.6
DeAndre Washington,OAK,8.475,4.800000000000001,10.400000000000002,12.4,9.2,10.400000000000002,9.8,4.4,6.4
Rob Kelley,WAS,8.366666666666667,OUT,OUT,1.4000000000000001,0.8,3.6,11.8,9.2,23.400000000000002
Peyton Barber,TB,8.066666666666666,OUT,OUT,OUT,OUT,1.2000000000000002,BYE,22.8,0.2
Bobby Rainey,NYG,7.639999999999999,OUT,OUT,4.800000000000001,13.0,14.8,5.800000000000001,-0.2,BYE
Justin Forsett,DET,7.4799999999999995,11.200000000000001,9.200000000000001,6.4,OUT,OUT,1.0,9.600000000000001,OUT
Orleans Darkwa,NYG,7.32,OUT,0.4000000000000001,18.400000000000002,15.600000000000001,2.2,OUT,0.0,BYE
Antone Smith,TB,7.2,OUT,OUT,OUT,OUT,OUT,BYE,9.400000000000002,5.0
Chris Ivory,JAC,7.199999999999998,OUT,OUT,4.6000000000000005,5.800000000000001,BYE,13.0,10.200000000000001,2.4000000000000004
Thomas Rawls,SEA,6.6,11.600000000000001,1.5999999999999999,OUT,OUT,BYE,OUT,OUT,OUT
Juwan Thompson,DEN,6.2,OUT,OUT,OUT,OUT,OUT,OUT,OUT,6.2
Charcandrick West,KC,6.133333333333333,4.6000000000000005,12.600000000000001,2.2,OUT,BYE,3.8000000000000003,1.6,12.0
Paul Perkins,NYG,5.76,OUT,OUT,0.0,16.0,4.4,5.2,3.2,BYE
Alfred Morris,DAL,5.6571428571428575,7.0,7.4,10.2,6.800000000000001,6.6000000000000005,0.4,BYE,1.2000000000000002
Jamaal Charles,KC,5.6000000000000005,OUT,OUT,OUT,1.4000000000000001,BYE,15.4,0.0,OUT
Tim Hightower,NO,5.571428571428571,2.0,1.8,3.8000000000000003,2.2,BYE,0.0,8.8,20.400000000000002
Dwayne Washington,DET,5.55,6.2,6.2,7.0,2.8000000000000003,OUT,OUT,OUT,OUT
Shaun Draughn,SF,5.457142857142857,13.2,4.2,2.4,1.6,-0.2,0.4,16.6,BYE
Kenjon Barner,PHI,5.44,8.4,0.4,14.4,BYE,OUT,1.2000000000000002,OUT,2.8
Robert Turbin,IND,5.228571428571429,3.8,8.0,7.8,1.0,OUT,4.800000000000001,4.4,6.8
Alfred Blue,HOU,5.15,0.8,2.2,2.4000000000000004,4.6000000000000005,7.800000000000001,2.6,12.600000000000001,8.200000000000001
Wendell Smallwood,PHI,5.133333333333334,0.2,3.2,21.8,BYE,OUT,4.0,2.6,-1.0
Lance Dunbar,DAL,4.75,3.2,6.4,6.2,3.2,OUT,OUT,BYE,OUT
James Starks,GB,4.6,2.6000000000000005,3.8000000000000003,1.6,BYE,10.4,OUT,OUT,OUT
Javorius Allen,BAL,4.6,OUT,OUT,OUT,5.6,3.6,OUT,OUT,BYE
Ka'Deem Carey,CHI,4.566666666666667,0.8,1.2000000000000002,OUT,OUT,3.4,10.0,11.400000000000002,0.6000000000000001
Kenyan Drake,MIA,4.366666666666666,OUT,9.600000000000001,9.600000000000001,3.0,4.0,0.0,0.0,BYE
Jonathan Williams,BUF,4.333333333333333,OUT,OUT,0.4,OUT,OUT,4.2,OUT,8.4
Travaris Cadet,NO,3.9428571428571426,9.0,3.4000000000000004,6.4,0.0,BYE,6.0,1.4000000000000001,1.4000000000000001
Josh Ferguson,IND,3.857142857142857,4.8,7.200000000000001,6.200000000000001,6.2,2.6,0.0,OUT,0.0
Reggie Bush,BUF,3.4,-0.8,OUT,OUT,OUT,0.6000000000000001,1.2000000000000002,10.8,5.200000000000001
Alex Collins,SEA,3.0,OUT,0.0,6.200000000000001,0.2,BYE,8.2,0.4,OUT
Benny Cunningham,LA,2.933333333333333,1.6,1.8000000000000003,7.800000000000001,0.0,OUT,4.6000000000000005,1.8,BYE
Mike Davis,SF,2.8333333333333335,0.2,2.0,OUT,0.0,0.8,3.8000000000000003,10.2,BYE
Jonathan Grimes,HOU,2.55,0.0,4.2,3.8,OUT,OUT,OUT,OUT,2.2
Andre Ellington,ARI,2.25,1.6,2.2,0.0,0.8,3.8000000000000003,5.0,1.4000000000000001,3.2
Corey Grant,JAC,2.25,0.0,9.0,0.0,0.0,BYE,OUT,OUT,OUT
Daniel Lasco,NO,2.15,0.0,OUT,OUT,3.8000000000000007,BYE,1.8,OUT,3.0
Kenneth Farrow,SD,2.15,OUT,2.6,OUT,OUT,OUT,1.0,2.6,2.4000000000000004
Malcolm Brown,LA,2.05,2.6,OUT,OUT,0.0,5.6000000000000005,OUT,0.0,BYE
Ronnie Hillman,MIN,2.0,OUT,OUT,OUT,OUT,OUT,BYE,-0.8000000000000002,4.8
Lorenzo Taliaferro,BAL,2.0,OUT,OUT,OUT,OUT,OUT,OUT,2.0,BYE
D.J. Foster,NE,1.7333333333333334,OUT,1.8000000000000003,OUT,OUT,3.4000000000000004,0.0,OUT,OUT
Rex Burkhead,CIN,1.6333333333333335,OUT,0.0,0.0,OUT,0.0,3.2,6.6000000000000005,0.0
Don Jackson,GB,1.6,OUT,OUT,OUT,BYE,OUT,OUT,1.2000000000000002,2.0
Jerome Felton,BUF,1.3,OUT,OUT,0.0,1.4,1.2000000000000002,0.0,0.0,5.2
Kapri Bibbs,DEN,1.2399999999999998,1.2000000000000002,1.4000000000000001,0.0,2.8000000000000003,OUT,OUT,OUT,0.8
Stepfan Taylor,ARI,1.2,OUT,OUT,OUT,OUT,-0.4,2.8000000000000003,OUT,OUT
Kenneth Dixon,BAL,1.0666666666666667,OUT,OUT,OUT,OUT,1.0000000000000002,2.4000000000000004,-0.2,BYE
Knile Davis,NYJ,1.05,OUT,0.0,OUT,2.4000000000000004,OUT,OUT,0.2,1.6
Brandon Bolden,NE,0.95,0.8,OUT,0.0,3.0,OUT,OUT,0.0,OUT
Denard Robinson,JAC,0.8399999999999999,1.4000000000000001,2.8000000000000003,0.0,OUT,BYE,0.0,0.0,OUT
Fitzgerald Toussaint,PIT,0.76,1.2000000000000002,2.6,0.0,OUT,OUT,0.0,0.0,BYE
Tyler Ervin,HOU,0.525,1.6,0.0,0.0,0.0,0.0,0.8,1.8,0.0
Taiwan Jones,OAK,0.45,1.8000000000000003,0.0,0.0,OUT,OUT,OUT,OUT,OUT
Alan Cross,TB,0.3333333333333333,OUT,OUT,0.0,0.0,1.0,BYE,OUT,OUT
Rod Smith,DAL,0.2,OUT,0.0,0.0,OUT,0.8,OUT,BYE,0.0
Marcus Murphy,NO,0.0,0.0,OUT,OUT,OUT,BYE,OUT,OUT,OUT
Chase Reynolds,LA,0.0,0.0,OUT,OUT,OUT,OUT,0.0,0.0,BYE
Antonio Andrews,TEN,0.0,OUT,0.0,0.0,0.0,OUT,0.0,OUT,OUT
George Atkinson,CLE,0.0,OUT,0.0,0.0,0.0,0.0,0.0,OUT,0.0
Jordan Todman,IND,0.0,OUT,OUT,0.0,0.0,0.0,0.0,0.0,0.0
 , 
Player,Team,TE Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
Greg Olsen,CAR,19.74285714285714,14.600000000000001,30.400000000000002,12.8,23.200000000000003,36.2,18.8,BYE,2.2
Rob Gronkowski,NE,19.133333333333333,OUT,OUT,0.0,2.2,21.8,38.4,24.6,27.8
Jordan Reed,WAS,16.833333333333332,12.8,14.0,11.200000000000001,26.6,10.600000000000001,OUT,OUT,25.8
Delanie Walker,TEN,14.228571428571428,8.4,22.6,OUT,6.800000000000001,19.200000000000003,4.2,22.8,15.6
Tyler Eifert,CIN,14.1,OUT,OUT,OUT,OUT,OUT,OUT,1.8,26.400000000000002
Jimmy Graham,SEA,13.485714285714284,2.2,8.4,26.0,22.6,BYE,17.8,10.600000000000001,6.800000000000001
Travis Kelce,KC,13.342857142857143,14.8,6.800000000000001,23.8,10.600000000000001,BYE,6.4,4.800000000000001,26.200000000000003
Martellus Bennett,NE,13.2,2.8000000000000003,28.8,3.2,21.8,31.4,9.600000000000001,1.0,7.0
Eric Ebron,DET,12.76,15.200000000000001,10.600000000000001,13.8,8.4,OUT,OUT,OUT,15.8
Hunter Henry,SD,12.400000000000002,4.0,OUT,15.200000000000001,18.200000000000003,20.8,22.6,3.2,2.8000000000000003
Zach Miller,CHI,12.075,2.8000000000000003,6.6000000000000005,27.6,12.2,14.600000000000001,7.2,8.0,17.6
Jace Amaro,TEN,11.8,OUT,OUT,11.8,OUT,OUT,OUT,OUT,OUT
Kyle Rudolph,MIN,11.771428571428572,13.0,12.2,20.0,17.0,3.0,BYE,11.0,6.2
Coby Fleener,NO,11.685714285714285,1.2000000000000002,5.800000000000001,27.8,3.8000000000000003,BYE,27.200000000000003,8.8,7.2
Jack Doyle,IND,10.950000000000001,19.0,7.4,13.0,1.2000000000000002,1.6,16.6,21.6,7.2
Julius Thomas,JAC,10.466666666666667,18.8,14.200000000000001,2.6,OUT,BYE,5.6000000000000005,10.0,11.600000000000001
Gary Barnidge,CLE,10.325000000000001,0.0,7.4,15.200000000000001,11.4,15.200000000000001,11.8,13.200000000000001,8.4
Vernon Davis,WAS,9.885714285714284,4.0,10.200000000000001,OUT,1.6,3.0,16.0,15.8,18.6
Cameron Brate,TB,9.657142857142857,6.0,3.2,21.200000000000003,13.4,7.6000000000000005,BYE,5.800000000000001,10.4
Dennis Pitta,BAL,9.571428571428571,7.800000000000001,20.400000000000002,8.4,3.4000000000000004,11.8,7.2,8.0,BYE
C.J. Fiedorowicz,HOU,9.225,1.2000000000000002,0.2,0.0,15.600000000000001,12.200000000000001,23.0,7.0,14.6
Jason Witten,DAL,9.142857142857142,13.200000000000001,10.200000000000001,5.0,9.4,8.6,8.4,BYE,9.2
Dwayne Allen,IND,8.733333333333333,18.6,5.0,7.0,4.0,16.0,1.8,OUT,OUT
Vance McDonald,SF,8.08,8.8,21.0,0.8,OUT,OUT,5.0,4.800000000000001,BYE
Antonio Gates,SD,8.066666666666666,4.0,9.0,OUT,OUT,12.0,3.2,7.6000000000000005,12.600000000000001
Lance Kendricks,LA,7.742857142857143,3.0,12.200000000000001,0.0,10.4,4.800000000000001,12.8,11.0,BYE
Jacob Tamme,ATL,7.5,10.200000000000001,21.0,5.6000000000000005,6.6,0.2,3.2,9.4,3.8000000000000003
Virgil Green,DEN,7.5,5.6000000000000005,9.200000000000001,OUT,OUT,OUT,4.2,OUT,11.0
Jesse James,PIT,7.114285714285715,6.2,11.8,2.0,9.0,14.6,2.6,3.6,BYE
Charles Clay,BUF,6.85,8.0,5.4,0.0,9.4,14.600000000000001,10.4,5.800000000000001,1.2000000000000002
C.J. Uzomah,CIN,6.433333333333334,11.8,1.8,6.2,9.0,8.6,1.2000000000000002,OUT,OUT
Austin Hooper,ATL,6.428571428571429,2.8000000000000003,16.8,0.0,14.4,2.8000000000000003,OUT,0.0,8.200000000000001
Clive Walford,OAK,6.171428571428572,5.0,16.0,5.4,4.6000000000000005,OUT,5.0,1.0,6.2
Austin Seferian-Jenkins,NYJ,6.066666666666666,12.0,2.8000000000000003,OUT,OUT,3.4000000000000004,OUT,OUT,OUT
Zach Ertz,PHI,6.0,11.600000000000001,OUT,OUT,BYE,7.4,4.4,2.8000000000000003,3.8000000000000003
Jordan Cameron,MIA,6.0,1.2000000000000002,15.8,1.0,OUT,OUT,OUT,OUT,BYE
Ryan Griffin,HOU,5.3500000000000005,3.4000000000000004,1.0,10.4,10.8,1.6,6.2,2.6,6.800000000000001
Erik Swoope,IND,4.92,0.0,OUT,OUT,0.0,OUT,8.4,10.200000000000001,6.0
Larry Donnell,NYG,4.880000000000001,9.0,4.800000000000001,2.2,OUT,OUT,6.800000000000001,1.6,BYE
Mychal Rivera,OAK,4.8,OUT,OUT,OUT,0.2,OUT,3.2,2.6,13.2
Garrett Celek,SF,4.633333333333334,3.0,2.4000000000000004,5.0,15.8,0.8,OUT,0.8,BYE
Marcedes Lewis,JAC,4.6,9.600000000000001,9.4,4.0,2.4000000000000004,BYE,0.0,2.2,4.6000000000000005
Xavier Grimble,PIT,4.5200000000000005,OUT,11.2,OUT,3.8000000000000003,2.6,2.2,2.8000000000000003,BYE
Will Tye,NYG,4.257142857142857,3.2,2.0,2.8000000000000003,8.6,7.4,3.0,2.8000000000000003,BYE
Levine Toilolo,ATL,4.166666666666667,OUT,4.2,OUT,0.0,0.0,19.8,1.0,0.0
Josh Hill,NO,4.133333333333333,OUT,OUT,OUT,OUT,BYE,10.600000000000001,1.2000000000000002,0.6000000000000001
Ben Koyack,JAC,4.1,OUT,0.0,OUT,OUT,BYE,OUT,OUT,8.200000000000001
MarQueis Gray,MIA,4.05,0.0,0.0,OUT,0.0,OUT,16.2,OUT,BYE
Crockett Gillmore,BAL,4.040000000000001,1.0,4.4,OUT,3.2,11.600000000000001,0.0,OUT,BYE
Brent Celek,PHI,3.9499999999999997,2.2,0.0,12.200000000000001,BYE,OUT,OUT,1.4000000000000001,OUT
Trey Burton,PHI,3.8666666666666667,OUT,15.8,3.8000000000000003,BYE,1.0,1.4000000000000001,0.0,1.2000000000000002
Richard Rodgers,GB,3.7999999999999994,4.4,5.0,7.8,BYE,1.2000000000000002,3.0,1.4000000000000001,OUT
Dion Sims,MIA,3.7599999999999993,OUT,4.2,9.200000000000001,1.8,1.2000000000000002,2.4000000000000004,OUT,BYE
Ed Dickson,CAR,3.72,OUT,0.0,4.6000000000000005,3.4000000000000004,0.0,10.600000000000001,BYE,OUT
Tyler Kroft,CIN,3.6800000000000006,OUT,7.0,OUT,OUT,5.800000000000001,3.8000000000000003,0.6000000000000001,1.2000000000000002
Jared Cook,GB,3.533333333333333,1.4000000000000001,6.2,3.0,BYE,OUT,OUT,OUT,OUT
John Phillips,DEN,3.5,OUT,OUT,7.8,OUT,0.0,6.2,OUT,0.0
Jeff Heuerman,DEN,3.1999999999999997,OUT,OUT,5.800000000000001,3.8000000000000003,0.0,OUT,OUT,OUT
Phillip Supernaw,TEN,3.1,OUT,1.4000000000000001,0.0,OUT,OUT,5.0,OUT,6.0
Darren Fells,ARI,3.05,OUT,6.2,3.0,1.4000000000000001,OUT,1.6,OUT,OUT
Nick O'Leary,BUF,2.971428571428571,0.0,0.0,5.6000000000000005,4.0,OUT,5.800000000000001,1.4000000000000001,4.0
Stephen Anderson,HOU,2.85,5.0,3.0,0.0,OUT,OUT,OUT,OUT,3.4000000000000004
Jermaine Gresham,ARI,2.6500000000000004,8.200000000000001,0.0,0.0,0.0,0.8,2.8000000000000003,3.0,6.4
Brandon Myers,TB,2.65,6.8,0.0,1.4000000000000001,OUT,2.4000000000000004,BYE,OUT,OUT
Demetrius Harris,KC,2.2857142857142856,4.0,0.0,2.8000000000000003,2.4000000000000004,BYE,2.2,2.0,2.6
Anthony Fasano,TEN,2.1999999999999997,OUT,0.2,0.0,0.0,2.0,9.0,2.0,OUT
Jerell Adams,NYG,2.1333333333333333,OUT,OUT,OUT,OUT,5.4,0.0,1.0,BYE
Luke Willson,SEA,2.0000000000000004,5.2,1.2000000000000002,1.8,0.0,BYE,1.8,OUT,OUT
Geoff Swaim,DAL,1.9333333333333333,4.2,5.800000000000001,0.0,0.0,0.0,OUT,BYE,1.6
Clay Harbor,DET,1.9000000000000001,OUT,OUT,OUT,OUT,OUT,0.6000000000000001,3.2,OUT
Justin Perillo,GB,1.7000000000000002,OUT,OUT,2.6,BYE,OUT,0.8,OUT,OUT
Luke Stocker,TB,1.6,OUT,OUT,OUT,OUT,OUT,BYE,OUT,1.6
MyCole Pruitt,MIN,1.4,OUT,OUT,OUT,1.4000000000000001,OUT,BYE,OUT,OUT
Niles Paul,WAS,1.35,OUT,3.2,0.0,0.0,OUT,OUT,2.2,OUT
Dominique Jones,MIA,1.2000000000000002,OUT,OUT,OUT,OUT,0.8,1.6,OUT,BYE
David Johnson,PIT,1.2,OUT,1.0,OUT,5.2,OUT,0.0,1.0,BYE
Neal Sterling,JAC,1.0,OUT,0.0,OUT,2.0,BYE,OUT,OUT,OUT
Seth DeValve,CLE,1.0,OUT,OUT,OUT,OUT,OUT,OUT,OUT,1.0
Rhett Ellison,MIN,1.0,0.0,OUT,3.6,0.4,OUT,BYE,0.0,OUT
Ben Braunecker,CHI,0.8,OUT,OUT,OUT,0.0,OUT,OUT,OUT,1.6
Nick Vannett,SEA,0.7,OUT,OUT,OUT,OUT,BYE,OUT,0.0,1.4000000000000001
Brandon Bostick,NYJ,0.65,OUT,0.0,OUT,OUT,1.8,OUT,0.0,0.8
Logan Paulsen,CHI,0.6,0.0,OUT,OUT,2.0,0.0,0.0,OUT,1.0
Sean McGrath,SD,0.52,OUT,0.0,2.6,OUT,0.0,0.0,OUT,0.0
Blake Bell,SF,0.5,OUT,1.2000000000000002,0.0,OUT,0.8,OUT,0.0,BYE
Ross Travis,KC,0.5,0.0,0.0,2.0,0.0,BYE,OUT,OUT,OUT
Tyler Higbee,LA,0.24000000000000005,0.4,OUT,0.0,0.0,0.0,OUT,0.8,BYE
Khari Lee,DET,0.0,OUT,OUT,OUT,0.0,OUT,OUT,OUT,OUT
Darren Waller,BAL,0.0,OUT,OUT,OUT,OUT,OUT,0.0,0.0,BYE
George Fant,SEA,0.0,OUT,OUT,OUT,OUT,BYE,OUT,0.0,0.0
James O'Shaughnessy,KC,0.0,0.0,0.0,0.0,OUT,BYE,0.0,0.0,OUT
Cory Harkey,LA,0.0,OUT,0.0,OUT,OUT,OUT,OUT,OUT,BYE
Gavin Escobar,DAL,0.0,0.0,OUT,OUT,OUT,OUT,OUT,BYE,0.0
Je'Ron Hamm,SF,0.0,OUT,OUT,OUT,OUT,0.0,OUT,OUT,BYE
Temarrick Hemingway,LA,0.0,OUT,OUT,OUT,0.0,OUT,OUT,OUT,BYE
Brandon Williams,SEA,0.0,0.0,OUT,OUT,OUT,BYE,0.0,0.0,OUT
A.J. Derby,DEN,0.0,0.0,OUT,OUT,OUT,OUT,OUT,OUT,OUT
Kellen Davis,NYJ,0.0,0.0,0.0,OUT,0.0,OUT,0.0,0.0,OUT
Hakeem Valles,ARI,0.0,OUT,OUT,OUT,OUT,0.0,OUT,OUT,OUT
Randall Telfer,CLE,0.0,OUT,OUT,OUT,0.0,OUT,OUT,OUT,0.0
 , 
