Player,Team,K Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
Carson Palmer,ARI,57.68571428571429,59.60000000000001,77.80000000000001,35.00000000000001,53.0,OUT,48.4,59.8,70.20000000000002
Jameis Winston,TB,56.8,77.80000000000001,37.0,93.39999999999999,27.400000000000002,47.60000000000001,BYE,65.6,48.800000000000004
Russell Wilson,SEA,51.542857142857144,51.2,48.6,49.800000000000004,72.6,BYE,52.6,39.4,46.6
Joe Flacco,BAL,51.457142857142856,46.4,66.60000000000001,40.2,68.6,41.800000000000004,56.60000000000001,40.00000000000001,BYE
Nick Foles,KC,51.2,OUT,OUT,OUT,OUT,BYE,OUT,OUT,51.199999999999996
Ryan Tannehill,MIA,50.142857142857146,37.0,90.80000000000001,73.6,30.000000000000004,17.800000000000004,51.00000000000001,50.800000000000004,BYE
Alex Smith,KC,50.08571428571428,81.00000000000001,30.8,47.6,59.400000000000006,BYE,43.4,56.2,32.2
Tyrod Taylor,BUF,49.0,19.200000000000003,79.4,31.8,58.400000000000006,38.0,58.400000000000006,57.0,49.800000000000004
Shaun Hill,MIN,48.8,48.800000000000004,OUT,OUT,OUT,OUT,BYE,OUT,OUT
Sam Bradford,MIN,48.06666666666666,OUT,58.2,34.2,59.60000000000001,60.6,BYE,34.6,41.2
Case Keenum,LA,47.82857142857143,18.0,41.800000000000004,44.800000000000004,62.2,38.6,83.60000000000001,45.800000000000004,BYE
Carson Wentz,PHI,47.37142857142857,64.2,42.0,74.2,BYE,54.8,24.400000000000002,30.8,41.2
Trevor Siemian,DEN,45.0,33.800000000000004,50.6,83.60000000000001,12.600000000000001,OUT,48.2,37.2,49.00000000000001
Ryan Fitzpatrick,NYJ,44.975,48.6,83.2,24.0,43.400000000000006,53.599999999999994,32.2,23.8,51.0
Colin Kaepernick,SF,44.0,OUT,OUT,OUT,OUT,OUT,49.6,38.400000000000006,BYE
Blaine Gabbert,SF,43.04,45.4,59.4,25.200000000000003,45.2,40.0,OUT,OUT,BYE
Brock Osweiler,HOU,42.39999999999999,52.8,48.2,32.6,56.6,30.000000000000004,58.400000000000006,28.400000000000002,32.2
Cody Kessler,CLE,38.2,OUT,OUT,44.2,45.8,18.4,66.6,16.000000000000004,OUT
Jay Cutler,CHI,38.06666666666666,37.4,22.400000000000002,OUT,OUT,OUT,OUT,OUT,54.400000000000006
Paxton Lynch,DEN,37.7,OUT,OUT,OUT,38.2,37.2,OUT,OUT,OUT
Derek Anderson,CAR,31.133333333333336,OUT,OUT,0.6000000000000001,42.4,50.4,OUT,BYE,OUT
Jimmy Garoppolo,NE,29.95,58.400000000000006,64.80000000000001,OUT,OUT,-0.6000000000000001,OUT,OUT,-2.8
Kevin Hogan,CLE,18.799999999999997,OUT,OUT,OUT,OUT,OUT,OUT,36.8,0.8
Trevone Boykin,SEA,15.6,OUT,OUT,15.6,OUT,BYE,OUT,OUT,OUT
Landry Jones,PIT,14.65,OUT,OUT,OUT,0.0,-0.4,-0.2,59.2,BYE
Drew Stanton,ARI,9.9,OUT,2.2,OUT,1.4000000000000004,33.8,2.2,OUT,OUT
Matt Barkley,CHI,7.0,OUT,OUT,OUT,OUT,OUT,OUT,7.0,OUT
EJ Manuel,BUF,4.066666666666666,OUT,2.4,OUT,OUT,OUT,2.2,OUT,7.6
Matt Cassel,TEN,1.0999999999999999,OUT,-0.2,OUT,OUT,OUT,OUT,OUT,2.4
Joe Webb,CAR,0.19999999999999998,OUT,OUT,0.0,0.6000000000000001,OUT,OUT,BYE,0.0
Kellen Clemens,SD,-0.2,OUT,-0.2,OUT,OUT,OUT,OUT,OUT,OUT
 , 
Player,Team,WR Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
