team,QB rank,wk 12,wk 13,wk 14,wk 15,  ,team,RB rank,wk 12,wk 13,wk 14,wk 15,  ,team,WR rank,wk 12,wk 13,wk 14,wk 15,  ,team,TE rank,wk 12,wk 13,wk 14,wk 15,  ,team,K rank,wk 12,wk 13,wk 14,wk 15,  
CAR,50.5,OAK -  Derek Carr,SEA -  Russell Wilson Trevone Boykin,SD -  Philip Rivers Kellen Clemens,WAS -  Kirk Cousins,  ,CIN,28.900000000000002,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,PHI -  Ryan Mathews Darren Sproles Wendell Smallwood Kenjon Barner,CLE -  Isaiah Crowell Duke Johnson George Atkinson,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,  ,KC,36.375,DEN -  Emmanuel Sanders Demaryius Thomas Jordan Norwood Bennie Fowler Jordan Taylor Cody Latimer,ATL -  Julio Jones Mohamed Sanu Taylor Gabriel Aldrick Robinson Justin Hardy Eric Weems,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,TEN -  Rishard Matthews Tajae Sharpe Kendall Wright Andre Johnson Harry Douglas Marc Mariani,  ,NYJ,12.250000000000002,NE -  Rob Gronkowski Martellus Bennett,IND -  Jack Doyle Dwayne Allen Erik Swoope,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,MIA -  Dion Sims MarQueis Gray Jordan Cameron Dominique Jones,  ,ATL,6.375,ARI -  Chandler Catanzaro,KC -  Cairo Santos,LA -  Greg Zuerlein,SF -  Phil Dawson,  
CHI,49.925,TEN -  Marcus Mariota Matt Cassel,SF -  Blaine Gabbert Colin Kaepernick,DET -  Matthew Stafford,GB -  Aaron Rodgers,  ,DEN,27.475,KC -  Spencer Ware Charcandrick West Jamaal Charles,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,TEN -  DeMarco Murray Derrick Henry Antonio Andrews,NE -  LeGarrette Blount James White D.J. Foster Brandon Bolden,  ,ATL,35.85,ARI -  Larry Fitzgerald John Brown Michael Floyd Jaron Brown J.J. Nelson Brittan Golden,KC -  Jeremy Maclin Chris Conley Tyreek Hill Albert Wilson De'Anthony Thomas Demarcus Robinson,LA -  Kenny Britt Brian Quick Tavon Austin Bradley Marquez Pharoh Cooper Mike Thomas,SF -  Jeremy Kerley Torrey Smith Quinton Patton Rod Streater Aaron Burbridge Keshawn Martin,  ,SF,11.725,MIA -  Dion Sims MarQueis Gray Jordan Cameron Dominique Jones,CHI -  Zach Miller Logan Paulsen Ben Braunecker,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,ATL -  Jacob Tamme Austin Hooper Levine Toilolo,  ,PIT,6.25,IND -  Adam Vinatieri,NYG -  Robbie Gould,BUF -  Dan Carpenter,CIN -  Mike Nugent,  
SF,49.849999999999994,MIA -  Ryan Tannehill,CHI -  Brian Hoyer Jay Cutler Matt Barkley,NYJ -  Ryan Fitzpatrick Geno Smith,ATL -  Matt Ryan,  ,TB,27.25,SEA -  Christine Michael Thomas Rawls Alex Collins C.J. Spiller C.J. Prosise,SD -  Melvin Gordon Danny Woodhead Kenneth Farrow,NO -  Mark Ingram Tim Hightower Daniel Lasco Travaris Cadet Marcus Murphy,DAL -  Ezekiel Elliott Alfred Morris Lance Dunbar Rod Smith,  ,WAS,35.7,DAL -  Cole Beasley Terrance Williams Dez Bryant Brice Butler Lucky Whitehead,ARI -  Larry Fitzgerald John Brown Michael Floyd Jaron Brown J.J. Nelson Brittan Golden,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,CAR -  Kelvin Benjamin Ted Ginn Corey Brown Devin Funchess,  ,MIA,11.700000000000001,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,ARI -  Jermaine Gresham Darren Fells Ifeanyi Momah Troy Niklas Hakeem Valles,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,  ,TEN,6.25,CHI -  Connor Barth,BYE,DEN -  Brandon McManus,KC -  Cairo Santos,  
LA,49.675000000000004,NO -  Drew Brees,NE -  Tom Brady Jimmy Garoppolo Jacoby Brissett,ATL -  Matt Ryan,SEA -  Russell Wilson Trevone Boykin,  ,BUF,27.05,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,CLE -  Isaiah Crowell Duke Johnson George Atkinson,  ,SD,35.625,HOU -  DeAndre Hopkins Will Fuller Jaelen Strong Braxton Miller Keith Mumphery,TB -  Mike Evans Adam Humphries Vincent Jackson Russell Shepard Cecil Shorts Freddie Martino,CAR -  Kelvin Benjamin Ted Ginn Corey Brown Devin Funchess,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,  ,NE,11.125,NYJ -  Austin Seferian-Jenkins Brandon Bostick Kellen Davis Braedon Bowman,LA -  Lance Kendricks Tyler Higbee Cory Harkey Temarrick Hemingway,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,DEN -  Virgil Green Jeff Heuerman John Phillips,  ,NYJ,6.125,NE -  Stephen Gostkowski,IND -  Adam Vinatieri,SF -  Phil Dawson,MIA -  Andrew Franks,  
MIA,49.175,SF -  Blaine Gabbert Colin Kaepernick,BAL -  Joe Flacco,ARI -  Carson Palmer Drew Stanton,NYJ -  Ryan Fitzpatrick Geno Smith,  ,DET,25.975,MIN -  Jerick McKinnon Matt Asiata Adrian Peterson Ronnie Hillman,NO -  Mark Ingram Tim Hightower Daniel Lasco Travaris Cadet Marcus Murphy,CHI -  Jordan Howard Jeremy Langford Ka'Deem Carey,NYG -  Shane Vereen Rashad Jennings Orleans Darkwa Bobby Rainey Paul Perkins,  ,SF,35.5,MIA -  Jarvis Landry Kenny Stills DeVante Parker Leonte Carroo Jakeem Grant,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,NYJ -  Brandon Marshall Quincy Enunwa Eric Decker Robby Anderson Charone Peake Jalin Marshall,ATL -  Julio Jones Mohamed Sanu Taylor Gabriel Aldrick Robinson Justin Hardy Eric Weems,  ,SD,10.875000000000002,HOU -  C.J. Fiedorowicz Ryan Griffin Stephen Anderson,TB -  Cameron Brate Brandon Myers,CAR -  Greg Olsen Ed Dickson,OAK -  Clive Walford Mychal Rivera Lee Smith,  ,CLE,5.75,NYG -  Robbie Gould,BYE,CIN -  Mike Nugent,BUF -  Dan Carpenter,  
NYG,48.675000000000004,CLE -  Cody Kessler Josh McCown Robert Griffin III Kevin Hogan,PIT -  Ben Roethlisberger Landry Jones,DAL -  Dak Prescott,DET -  Matthew Stafford,  ,MIA,25.2,SF -  Carlos Hyde Shaun Draughn DuJuan Harris Mike Davis,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,ARI -  David Johnson Chris Johnson Andre Ellington Stepfan Taylor,NYJ -  Matt Forte Bilal Powell Troymaine Pope,  ,NO,34.975,LA -  Kenny Britt Brian Quick Tavon Austin Bradley Marquez Pharoh Cooper Mike Thomas,DET -  Marvin Jones Golden Tate Anquan Boldin Andre Roberts,TB -  Mike Evans Adam Humphries Vincent Jackson Russell Shepard Cecil Shorts Freddie Martino,ARI -  Larry Fitzgerald John Brown Michael Floyd Jaron Brown J.J. Nelson Brittan Golden,  ,GB,10.775,PHI -  Zach Ertz Trey Burton Brent Celek,HOU -  C.J. Fiedorowicz Ryan Griffin Stephen Anderson,SEA -  Jimmy Graham Luke Willson Brandon Williams Nick Vannett George Fant,CHI -  Zach Miller Logan Paulsen Ben Braunecker,  ,CAR,5.75,OAK -  Sebastian Janikowski,SEA -  Stephen Hauschka,SD -  Josh Lambo,WAS -  Dustin Hopkins,  
TEN,47.625,CHI -  Brian Hoyer Jay Cutler Matt Barkley,BYE,DEN -  Trevor Siemian Paxton Lynch,KC -  Alex Smith,  ,KC,24.325,DEN -  C.J. Anderson Devontae Booker Kapri Bibbs,ATL -  Devonta Freeman Tevin Coleman,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,TEN -  DeMarco Murray Derrick Henry Antonio Andrews,  ,CAR,34.275,OAK -  Amari Cooper Michael Crabtree Seth Roberts Andre Holmes Johnny Holton,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,SD -  Tyrell Williams Travis Benjamin Dontrelle Inman Keenan Allen Dexter McCluster Griff Whalen,WAS -  Jamison Crowder DeSean Jackson Pierre Garcon Josh Doctson Ryan Grant Rashad Ross,  ,DEN,10.625,KC -  Travis Kelce Demetrius Harris Ross Travis James O'Shaughnessy,JAC -  Julius Thomas Marcedes Lewis Neal Sterling Ben Koyack,TEN -  Delanie Walker Jace Amaro Anthony Fasano Phillip Supernaw,NE -  Rob Gronkowski Martellus Bennett,  ,DET,5.625,MIN -  Blair Walsh,NO -  Wil Lutz,CHI -  Connor Barth,NYG -  Robbie Gould,  
NE,47.475,NYJ -  Ryan Fitzpatrick Geno Smith,LA -  Case Keenum,BAL -  Joe Flacco,DEN -  Trevor Siemian Paxton Lynch,  ,LA,23.875,NO -  Mark Ingram Tim Hightower Daniel Lasco Travaris Cadet Marcus Murphy,NE -  LeGarrette Blount James White D.J. Foster Brandon Bolden,ATL -  Devonta Freeman Tevin Coleman,SEA -  Christine Michael Thomas Rawls Alex Collins C.J. Spiller C.J. Prosise,  ,NE,34.12500000000001,NYJ -  Brandon Marshall Quincy Enunwa Eric Decker Robby Anderson Charone Peake Jalin Marshall,LA -  Kenny Britt Brian Quick Tavon Austin Bradley Marquez Pharoh Cooper Mike Thomas,BAL -  Mike Wallace Steve Smith Breshad Perriman Kamar Aiken Chris Moore Devin Hester,DEN -  Emmanuel Sanders Demaryius Thomas Jordan Norwood Bennie Fowler Jordan Taylor Cody Latimer,  ,NYG,9.175,CLE -  Gary Barnidge Connor Hamlett Randall Telfer,PIT -  Jesse James Xavier Grimble David Johnson,DAL -  Jason Witten Geoff Swaim Gavin Escobar,DET -  Eric Ebron Clay Harbor Cole Wick Khari Lee,  ,MIA,5.5,SF -  Phil Dawson,BAL -  Justin Tucker,ARI -  Chandler Catanzaro,NYJ -  Nick Folk,  
DAL,46.92499999999999,WAS -  Kirk Cousins,MIN -  Sam Bradford Shaun Hill,NYG -  Eli Manning,TB -  Jameis Winston,  ,NE,23.825,NYJ -  Matt Forte Bilal Powell Troymaine Pope,LA -  Todd Gurley Benny Cunningham Malcolm Brown Chase Reynolds,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,DEN -  C.J. Anderson Devontae Booker Kapri Bibbs,  ,JAC,33.725,BUF -  Marquise Goodwin Robert Woods Greg Salas Walt Powell Sammy Watkins Justin Hunter Brandon Tate,DEN -  Emmanuel Sanders Demaryius Thomas Jordan Norwood Bennie Fowler Jordan Taylor Cody Latimer,MIN -  Stefon Diggs Adam Thielen Cordarrelle Patterson Charles Johnson Jarius Wright Laquon Treadwell,HOU -  DeAndre Hopkins Will Fuller Jaelen Strong Braxton Miller Keith Mumphery,  ,NO,8.975,LA -  Lance Kendricks Tyler Higbee Cory Harkey Temarrick Hemingway,DET -  Eric Ebron Clay Harbor Cole Wick Khari Lee,TB -  Cameron Brate Brandon Myers,ARI -  Jermaine Gresham Darren Fells Ifeanyi Momah Troy Niklas Hakeem Valles,  ,WAS,5.375,DAL -  Dan Bailey,ARI -  Chandler Catanzaro,PHI -  Caleb Sturgis,CAR -  Graham Gano,  
WAS,45.849999999999994,DAL -  Dak Prescott,ARI -  Carson Palmer Drew Stanton,PHI -  Carson Wentz,CAR -  Cam Newton Derek Anderson Joe Webb,  ,NYJ,23.275000000000002,NE -  LeGarrette Blount James White D.J. Foster Brandon Bolden,IND -  Frank Gore Robert Turbin Josh Ferguson Jordan Todman,SF -  Carlos Hyde Shaun Draughn DuJuan Harris Mike Davis,MIA -  Jay Ajayi Kenyan Drake Damien Williams,  ,TEN,33.5,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,BYE,DEN -  Emmanuel Sanders Demaryius Thomas Jordan Norwood Bennie Fowler Jordan Taylor Cody Latimer,KC -  Jeremy Maclin Chris Conley Tyreek Hill Albert Wilson De'Anthony Thomas Demarcus Robinson,  ,WAS,8.875,DAL -  Jason Witten Geoff Swaim Gavin Escobar,ARI -  Jermaine Gresham Darren Fells Ifeanyi Momah Troy Niklas Hakeem Valles,PHI -  Zach Ertz Trey Burton Brent Celek,CAR -  Greg Olsen Ed Dickson,  ,TB,5.125,SEA -  Stephen Hauschka,SD -  Josh Lambo,NO -  Wil Lutz,DAL -  Dan Bailey,  
BAL,44.775000000000006,CIN -  Andy Dalton,MIA -  Ryan Tannehill,NE -  Tom Brady Jimmy Garoppolo Jacoby Brissett,PHI -  Carson Wentz,  ,TEN,23.150000000000002,CHI -  Jordan Howard Jeremy Langford Ka'Deem Carey,BYE,DEN -  C.J. Anderson Devontae Booker Kapri Bibbs,KC -  Spencer Ware Charcandrick West Jamaal Charles,  ,ARI,32.175000000000004,ATL -  Julio Jones Mohamed Sanu Taylor Gabriel Aldrick Robinson Justin Hardy Eric Weems,WAS -  Jamison Crowder DeSean Jackson Pierre Garcon Josh Doctson Ryan Grant Rashad Ross,MIA -  Jarvis Landry Kenny Stills DeVante Parker Leonte Carroo Jakeem Grant,NO -  Brandin Cooks Michael Thomas Willie Snead Brandon Coleman Tommylee Lewis Jake Lampman,  ,LA,8.25,NO -  Coby Fleener Josh Hill,NE -  Rob Gronkowski Martellus Bennett,ATL -  Jacob Tamme Austin Hooper Levine Toilolo,SEA -  Jimmy Graham Luke Willson Brandon Williams Nick Vannett George Fant,  ,GB,4.875,PHI -  Caleb Sturgis,HOU -  Nick Novak,SEA -  Stephen Hauschka,CHI -  Connor Barth,  
KC,43.175000000000004,DEN -  Trevor Siemian Paxton Lynch,ATL -  Matt Ryan,OAK -  Derek Carr,TEN -  Marcus Mariota Matt Cassel,  ,NYG,22.825,CLE -  Isaiah Crowell Duke Johnson George Atkinson,PIT -  Le'Veon Bell DeAngelo Williams Fitzgerald Toussaint,DAL -  Ezekiel Elliott Alfred Morris Lance Dunbar Rod Smith,DET -  Theo Riddick Ameer Abdullah Dwayne Washington Justin Forsett,  ,IND,31.875,PIT -  Antonio Brown Sammie Coates Eli Rogers Cobi Hamilton Darrius Heyward-Bey Markus Wheaton,NYJ -  Brandon Marshall Quincy Enunwa Eric Decker Robby Anderson Charone Peake Jalin Marshall,HOU -  DeAndre Hopkins Will Fuller Jaelen Strong Braxton Miller Keith Mumphery,MIN -  Stefon Diggs Adam Thielen Cordarrelle Patterson Charles Johnson Jarius Wright Laquon Treadwell,  ,TB,8.1,SEA -  Jimmy Graham Luke Willson Brandon Williams Nick Vannett George Fant,SD -  Hunter Henry Antonio Gates Sean McGrath,NO -  Coby Fleener Josh Hill,DAL -  Jason Witten Geoff Swaim Gavin Escobar,  ,NO,4.75,LA -  Greg Zuerlein,DET -  Matt Prater,TB -  Roberto Aguayo,ARI -  Chandler Catanzaro,  
