team,QB rank,wk 12,wk 13,wk 14,wk 15,  ,team,RB rank,wk 12,wk 13,wk 14,wk 15,  ,team,WR rank,wk 12,wk 13,wk 14,wk 15,  ,team,TE rank,wk 12,wk 13,wk 14,wk 15,  ,team,K rank,wk 12,wk 13,wk 14,wk 15,  
BUF,42.825,JAC -  Blake Bortles,OAK -  Derek Carr,PIT -  Ben Roethlisberger Landry Jones,CLE -  Cody Kessler Josh McCown Robert Griffin III Kevin Hogan,  ,BAL,22.724999999999998,CIN -  Jeremy Hill Giovani Bernard Rex Burkhead,MIA -  Jay Ajayi Kenyan Drake Damien Williams,NE -  LeGarrette Blount James White D.J. Foster Brandon Bolden,PHI -  Ryan Mathews Darren Sproles Wendell Smallwood Kenjon Barner,  ,GB,31.674999999999997,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,HOU -  DeAndre Hopkins Will Fuller Jaelen Strong Braxton Miller Keith Mumphery,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,CHI -  Alshon Jeffery Eddie Royal Cameron Meredith Kevin White Josh Bellamy Deonte Thompson,  ,MIN,7.949999999999999,DET -  Eric Ebron Clay Harbor Cole Wick Khari Lee,DAL -  Jason Witten Geoff Swaim Gavin Escobar,JAC -  Julius Thomas Marcedes Lewis Neal Sterling Ben Koyack,IND -  Jack Doyle Dwayne Allen Erik Swoope,  ,CIN,4.5,BAL -  Justin Tucker,PHI -  Caleb Sturgis,CLE -  Cody Parkey Patrick Murray,PIT -  Chris Boswell,  
TB,42.724999999999994,SEA -  Russell Wilson Trevone Boykin,SD -  Philip Rivers Kellen Clemens,NO -  Drew Brees,DAL -  Dak Prescott,  ,PHI,21.475,GB -  Eddie Lacy James Starks Don Jackson Knile Davis,CIN -  Jeremy Hill Giovani Bernard Rex Burkhead,WAS -  Matt Jones Chris Thompson Rob Kelley,BAL -  Terrance West Javorius Allen Kenneth Dixon Lorenzo Taliaferro,  ,DAL,30.900000000000002,WAS -  Jamison Crowder DeSean Jackson Pierre Garcon Josh Doctson Ryan Grant Rashad Ross,MIN -  Stefon Diggs Adam Thielen Cordarrelle Patterson Charles Johnson Jarius Wright Laquon Treadwell,NYG -  Odell Beckham Sterling Shepard Victor Cruz Roger Lewis Dwayne Harris Tavarres King,TB -  Mike Evans Adam Humphries Vincent Jackson Russell Shepard Cecil Shorts Freddie Martino,  ,CHI,7.925,TEN -  Delanie Walker Jace Amaro Anthony Fasano Phillip Supernaw,SF -  Vance McDonald Garrett Celek Blake Bell Je'Ron Hamm,DET -  Eric Ebron Clay Harbor Cole Wick Khari Lee,GB -  Richard Rodgers Jared Cook Justin Perillo,  ,ARI,4.25,ATL -  Matt Bryant,WAS -  Dustin Hopkins,MIA -  Andrew Franks,NO -  Wil Lutz,  
GB,40.449999999999996,PHI -  Carson Wentz,HOU -  Brock Osweiler,SEA -  Russell Wilson Trevone Boykin,CHI -  Brian Hoyer Jay Cutler Matt Barkley,  ,MIN,19.875,DET -  Theo Riddick Ameer Abdullah Dwayne Washington Justin Forsett,DAL -  Ezekiel Elliott Alfred Morris Lance Dunbar Rod Smith,JAC -  T.J. Yeldon Chris Ivory Denard Robinson Corey Grant,IND -  Frank Gore Robert Turbin Josh Ferguson Jordan Todman,  ,PIT,30.174999999999997,IND -  T.Y. Hilton Phillip Dorsett Chester Rogers Donte Moncrief Quan Bray Devin Street,NYG -  Odell Beckham Sterling Shepard Victor Cruz Roger Lewis Dwayne Harris Tavarres King,BUF -  Marquise Goodwin Robert Woods Greg Salas Walt Powell Sammy Watkins Justin Hunter Brandon Tate,CIN -  A.J. Green Brandon LaFell Tyler Boyd James Wright Alex Erickson Cody Core,  ,SEA,6.9,TB -  Cameron Brate Brandon Myers,CAR -  Greg Olsen Ed Dickson,GB -  Richard Rodgers Jared Cook Justin Perillo,LA -  Lance Kendricks Tyler Higbee Cory Harkey Temarrick Hemingway,  ,KC,4.25,DEN -  Brandon McManus,ATL -  Matt Bryant,OAK -  Sebastian Janikowski,TEN -  Ryan Succop,  
JAC,39.4,BUF -  Tyrod Taylor EJ Manuel,DEN -  Trevor Siemian Paxton Lynch,MIN -  Sam Bradford Shaun Hill,HOU -  Brock Osweiler,  ,CHI,19.85,TEN -  DeMarco Murray Derrick Henry Antonio Andrews,SF -  Carlos Hyde Shaun Draughn DuJuan Harris Mike Davis,DET -  Theo Riddick Ameer Abdullah Dwayne Washington Justin Forsett,GB -  Eddie Lacy James Starks Don Jackson Knile Davis,  ,CIN,30.15,BAL -  Mike Wallace Steve Smith Breshad Perriman Kamar Aiken Chris Moore Devin Hester,PHI -  Jordan Matthews Nelson Agholor Dorial Green-Beckham Josh Huff,CLE -  Terrelle Pryor Andrew Hawkins Corey Coleman Ricardo Louis Rashard Higgins Jordan Payton,PIT -  Antonio Brown Sammie Coates Eli Rogers Cobi Hamilton Darrius Heyward-Bey Markus Wheaton,  ,BAL,6.300000000000001,CIN -  C.J. Uzomah Tyler Kroft Tyler Eifert,MIA -  Dion Sims MarQueis Gray Jordan Cameron Dominique Jones,NE -  Rob Gronkowski Martellus Bennett,PHI -  Zach Ertz Trey Burton Brent Celek,  ,DAL,4.0,WAS -  Dustin Hopkins,MIN -  Blair Walsh,NYG -  Robbie Gould,TB -  Roberto Aguayo,  
ARI,37.75,ATL -  Matt Ryan,WAS -  Kirk Cousins,MIA -  Ryan Tannehill,NO -  Drew Brees,  ,ARI,19.325000000000003,ATL -  Devonta Freeman Tevin Coleman,WAS -  Matt Jones Chris Thompson Rob Kelley,MIA -  Jay Ajayi Kenyan Drake Damien Williams,NO -  Mark Ingram Tim Hightower Daniel Lasco Travaris Cadet Marcus Murphy,  ,TB,29.45,SEA -  Doug Baldwin Jermaine Kearse Tyler Lockett Paul Richardson Tanner McEvoy,SD -  Tyrell Williams Travis Benjamin Dontrelle Inman Keenan Allen Dexter McCluster Griff Whalen,NO -  Brandin Cooks Michael Thomas Willie Snead Brandon Coleman Tommylee Lewis Jake Lampman,DAL -  Cole Beasley Terrance Williams Dez Bryant Brice Butler Lucky Whitehead,  ,HOU,6.175000000000001,SD -  Hunter Henry Antonio Gates Sean McGrath,GB -  Richard Rodgers Jared Cook Justin Perillo,IND -  Jack Doyle Dwayne Allen Erik Swoope,JAC -  Julius Thomas Marcedes Lewis Neal Sterling Ben Koyack,  ,NE,3.875,NYJ -  Nick Folk,LA -  Greg Zuerlein,BAL -  Justin Tucker,DEN -  Brandon McManus,  
HOU,37.75,SD -  Philip Rivers Kellen Clemens,GB -  Aaron Rodgers,IND -  Andrew Luck,JAC -  Blake Bortles,  ,JAC,19.125,BUF -  LeSean McCoy Mike Gillislee Jonathan Williams Jerome Felton Reggie Bush,DEN -  C.J. Anderson Devontae Booker Kapri Bibbs,MIN -  Jerick McKinnon Matt Asiata Adrian Peterson Ronnie Hillman,HOU -  Lamar Miller Alfred Blue Jonathan Grimes Tyler Ervin,  ,HOU,28.449999999999996,SD -  Tyrell Williams Travis Benjamin Dontrelle Inman Keenan Allen Dexter McCluster Griff Whalen,GB -  Randall Cobb Davante Adams Jordy Nelson Ty Montgomery Jeff Janis Jared Abbrederis Trevor Davis,IND -  T.Y. Hilton Phillip Dorsett Chester Rogers Donte Moncrief Quan Bray Devin Street,JAC -  Allen Hurns Marqise Lee Allen Robinson Arrelious Benn Rashad Greene Bryan Walters,  ,KC,6.05,DEN -  Virgil Green Jeff Heuerman John Phillips,ATL -  Jacob Tamme Austin Hooper Levine Toilolo,OAK -  Clive Walford Mychal Rivera Lee Smith,TEN -  Delanie Walker Jace Amaro Anthony Fasano Phillip Supernaw,  ,LA,3.75,NO -  Wil Lutz,NE -  Stephen Gostkowski,ATL -  Matt Bryant,SEA -  Stephen Hauschka,  
SEA,35.075,TB -  Jameis Winston,CAR -  Cam Newton Derek Anderson Joe Webb,GB -  Aaron Rodgers,LA -  Case Keenum,  ,CAR,18.450000000000003,OAK -  DeAndre Washington Latavius Murray Jalen Richard Taiwan Jones,SEA -  Christine Michael Thomas Rawls Alex Collins C.J. Spiller C.J. Prosise,SD -  Melvin Gordon Danny Woodhead Kenneth Farrow,WAS -  Matt Jones Chris Thompson Rob Kelley,  ,PHI,27.125000000000004,GB -  Randall Cobb Davante Adams Jordy Nelson Ty Montgomery Jeff Janis Jared Abbrederis Trevor Davis,CIN -  A.J. Green Brandon LaFell Tyler Boyd James Wright Alex Erickson Cody Core,WAS -  Jamison Crowder DeSean Jackson Pierre Garcon Josh Doctson Ryan Grant Rashad Ross,BAL -  Mike Wallace Steve Smith Breshad Perriman Kamar Aiken Chris Moore Devin Hester,  ,BUF,5.699999999999999,JAC -  Julius Thomas Marcedes Lewis Neal Sterling Ben Koyack,OAK -  Clive Walford Mychal Rivera Lee Smith,PIT -  Jesse James Xavier Grimble David Johnson,CLE -  Gary Barnidge Connor Hamlett Randall Telfer,  ,SEA,3.75,TB -  Roberto Aguayo,CAR -  Graham Gano,GB -  Mason Crosby,LA -  Greg Zuerlein,  
DEN,34.349999999999994,KC -  Alex Smith,JAC -  Blake Bortles,TEN -  Marcus Mariota Matt Cassel,NE -  Tom Brady Jimmy Garoppolo Jacoby Brissett,  ,DAL,18.15,WAS -  Matt Jones Chris Thompson Rob Kelley,MIN -  Jerick McKinnon Matt Asiata Adrian Peterson Ronnie Hillman,NYG -  Shane Vereen Rashad Jennings Orleans Darkwa Bobby Rainey Paul Perkins,TB -  Jacquizz Rodgers Charles Sims Peyton Barber Doug Martin Antone Smith Alan Cross,  ,SEA,26.675,TB -  Mike Evans Adam Humphries Vincent Jackson Russell Shepard Cecil Shorts Freddie Martino,CAR -  Kelvin Benjamin Ted Ginn Corey Brown Devin Funchess,GB -  Randall Cobb Davante Adams Jordy Nelson Ty Montgomery Jeff Janis Jared Abbrederis Trevor Davis,LA -  Kenny Britt Brian Quick Tavon Austin Bradley Marquez Pharoh Cooper Mike Thomas,  ,JAC,4.9,BUF -  Charles Clay Nick O'Leary,DEN -  Virgil Green Jeff Heuerman John Phillips,MIN -  Kyle Rudolph Rhett Ellison MyCole Pruitt,HOU -  C.J. Fiedorowicz Ryan Griffin Stephen Anderson,  ,PHI,3.125,GB -  Mason Crosby,CIN -  Mike Nugent,WAS -  Dustin Hopkins,BAL -  Justin Tucker,  
PHI,32.45,GB -  Aaron Rodgers,CIN -  Andy Dalton,WAS -  Kirk Cousins,BAL -  Joe Flacco,  ,SEA,16.8,TB -  Jacquizz Rodgers Charles Sims Peyton Barber Doug Martin Antone Smith Alan Cross,CAR -  Fozzy Whittaker Jonathan Stewart Cameron Artis-Payne,GB -  Eddie Lacy James Starks Don Jackson Knile Davis,LA -  Todd Gurley Benny Cunningham Malcolm Brown Chase Reynolds,  ,MIN,19.75,DET -  Marvin Jones Golden Tate Anquan Boldin Andre Roberts,DAL -  Cole Beasley Terrance Williams Dez Bryant Brice Butler Lucky Whitehead,JAC -  Allen Hurns Marqise Lee Allen Robinson Arrelious Benn Rashad Greene Bryan Walters,IND -  T.Y. Hilton Phillip Dorsett Chester Rogers Donte Moncrief Quan Bray Devin Street,  ,PHI,4.45,GB -  Richard Rodgers Jared Cook Justin Perillo,CIN -  C.J. Uzomah Tyler Kroft Tyler Eifert,WAS -  Jordan Reed Vernon Davis Niles Paul,BAL -  Dennis Pitta Crockett Gillmore Maxx Williams Darren Waller,  ,MIN,2.75,DET -  Matt Prater,DAL -  Dan Bailey,JAC -  Jason Myers,IND -  Adam Vinatieri,  
MIN,31.425000000000004,DET -  Matthew Stafford,DAL -  Dak Prescott,JAC -  Blake Bortles,IND -  Andrew Luck,  ,GB,15.074999999999998,PHI -  Ryan Mathews Darren Sproles Wendell Smallwood Kenjon Barner,HOU -  Lamar Miller Alfred Blue Jonathan Grimes Tyler Ervin,SEA -  Christine Michael Thomas Rawls Alex Collins C.J. Spiller C.J. Prosise,CHI -  Jordan Howard Jeremy Langford Ka'Deem Carey,  ,DEN,17.55,KC -  Jeremy Maclin Chris Conley Tyreek Hill Albert Wilson De'Anthony Thomas Demarcus Robinson,JAC -  Allen Hurns Marqise Lee Allen Robinson Arrelious Benn Rashad Greene Bryan Walters,TEN -  Rishard Matthews Tajae Sharpe Kendall Wright Andre Johnson Harry Douglas Marc Mariani,NE -  Julian Edelman Chris Hogan Danny Amendola Malcolm Mitchell Matthew Slater,  ,ARI,4.275,ATL -  Jacob Tamme Austin Hooper Levine Toilolo,WAS -  Jordan Reed Vernon Davis Niles Paul,MIA -  Dion Sims MarQueis Gray Jordan Cameron Dominique Jones,NO -  Coby Fleener Josh Hill,  ,BAL,2.0,CIN -  Mike Nugent,MIA -  Andrew Franks,NE -  Stephen Gostkowski,PHI -  Caleb Sturgis,  
